EventNum_RunNum	Date		Time_UT		NT		RA			Dec		Error	Signalness	
42419327_132508	19/05/03	17:23:08.72	EHE		120.3040	+6.3568	14.99	3.6266e-01	
53411354_131653	18/10/23	16:37:32.65	EHE		269.8360	-8.8863	17.50	2.8016e-01	
34507973_131475	18/09/08	19:59:31.84	EHE		145.7729	-2.5178	20.36	3.4364e-01	
17569642_130214	17/11/06	18:39:39.21	EHE		340.2500	+7.3140	14.99	7.4593e-01	
50579430_130033	17/09/22	20:54:30.43	EHE		77.2853		+5.7517	14.99	5.6507e-01		
80305071_129307	17/03/21	07:32:20.69	EHE		98.3268		-14.486 19.48	2.8016e-01	
80127519_128906	16/12/10	20:06:40.31	EHE		46.5799		+14.980 60.00	4.9023e-01	
80127519_128906	16/12/10	20:06:40.31	EHE		45.8549		+15.785 14.99	4.9023e-01	
26552458_128311	16/08/06	12:21:33.00	EHE		122.7980	-0.7331	6.67	2.8016e-01	
6888376_128290	16/07/31	01:55:04.00	EHE		214.5440	-0.3347	20.99	8.4879e-01	
6888376_128290	16/07/31	01:55:04.00	EHE		215.0929	-0.4191	10.31	8.4879e-01	
